rank,name,source,installCount,trustScore,verified,benchmarkScore,url,description
16,doc-coauthoring,/anthropics/skills,453,8.5,True,94,https://raw.githubusercontent.com/anthropics/skills/refs/heads/main/skills/doc-coauthoring/SKILL.md,"Guide users through a structured workflow for co-authoring documentation. Use when user wants to write documentation, proposals, technical specs, decision docs, or similar structured content. This workflow helps users efficiently transfer context, refine content through iteration, and verify the doc works for readers. Trigger when user mentions writing docs, creating proposals, drafting specs, or similar documentation tasks."
17,algorithmic-art,/anthropics/skills,451,8.5,True,92,https://raw.githubusercontent.com/anthropics/skills/refs/heads/main/skills/algorithmic-art/SKILL.md,"Creating algorithmic art using p5.js with seeded randomness and interactive parameter exploration. Use this when users request creating art using code, generative art, algorithmic art, flow fields, or particle systems. Create original algorithmic art rather than copying existing artists' work to avoid copyright violations."
18,brand-guidelines,/anthropics/skills,423,8.5,True,72.5,https://raw.githubusercontent.com/anthropics/skills/refs/heads/main/skills/brand-guidelines/SKILL.md,"Applies Anthropic's official brand colors and typography to any sort of artifact that may benefit from having Anthropic's look-and-feel. Use it when brand colors or style guidelines, visual formatting, or company design standards apply."
19,template-skill,/anthropics/skills,412,8.5,True,45,https://raw.githubusercontent.com/anthropics/skills/refs/heads/main/template/SKILL.md,Replace with description of the skill and when Claude should use it.
20,internal-comms,/anthropics/skills,397,8.5,True,62,https://raw.githubusercontent.com/anthropics/skills/refs/heads/main/skills/internal-comms/SKILL.md,"A set of resources to help me write all kinds of internal communications, using the formats that my company likes to use. Claude should use this skill whenever asked to write some sort of internal communications (status reports, leadership updates, 3P updates, company newsletters, FAQs, incident reports, project updates, etc.)."
21,slack-gif-creator,/anthropics/skills,345,8.5,True,100,https://raw.githubusercontent.com/anthropics/skills/refs/heads/main/skills/slack-gif-creator/SKILL.md,"Knowledge and utilities for creating animated GIFs optimized for Slack. Provides constraints, validation tools, and animation concepts. Use when users request animated GIFs for Slack like ""make me a GIF of X doing Y for Slack."
22,senior-backend,/alirezarezvani/claude-skills,321,8.9,True,78,https://raw.githubusercontent.com/alirezarezvani/claude-skills/refs/heads/main/engineering-team/senior-backend/SKILL.md,"This skill should be used when the user asks to ""design REST APIs"", ""optimize database queries"", ""implement authentication"", ""build microservices"", ""review backend code"", ""set up GraphQL"", ""handle database migrations"", or ""load test APIs"". Use for Node.js/Express/Fastify development, PostgreSQL optimization, API security, and backend architecture patterns."
23,senior-fullstack,/alirezarezvani/claude-skills,318,8.9,True,78,https://raw.githubusercontent.com/alirezarezvani/claude-skills/refs/heads/main/engineering-team/senior-fullstack/SKILL.md,"Fullstack development toolkit with project scaffolding for Next.js, FastAPI, MERN, and Django stacks, code quality analysis with security and complexity scoring, and stack selection guidance. Use when the user asks to ""scaffold a new project"", ""create a Next.js app"", ""set up FastAPI with React"", ""analyze code quality"", ""audit my codebase"", ""what stack should I use"", ""generate project boilerplate"", or mentions fullstack development, project setup, or tech stack comparison."
24,better-auth-best-practices,/better-auth/skills,302,7.8,True,72,https://raw.githubusercontent.com/better-auth/skills/refs/heads/main/better-auth/best-practices/SKILL.md,Skill for integrating Better Auth - the comprehensive TypeScript authentication framework.
25,senior-architect,/alirezarezvani/claude-skills,295,8.9,True,100,https://raw.githubusercontent.com/alirezarezvani/claude-skills/refs/heads/main/engineering-team/senior-architect/SKILL.md,"This skill should be used when the user asks to ""design system architecture"", ""evaluate microservices vs monolith"", ""create architecture diagrams"", ""analyze dependencies"", ""choose a database"", ""plan for scalability"", ""make technical decisions"", or ""review system design"". Use for architecture decision records (ADRs), tech stack evaluation, system design reviews, dependency analysis, and generating architecture diagrams in Mermaid, PlantUML, or ASCII format."
26,tailwind-design-system,/wshobson/agents,290,9.5,True,,https://raw.githubusercontent.com/wshobson/agents/refs/heads/main/plugins/frontend-mobile-development/skills/tailwind-design-system/SKILL.md,"Build scalable design systems with Tailwind CSS, design tokens, component libraries, and responsive patterns. Use when creating component libraries, implementing design systems, or standardizing UI patterns."
27,code-reviewer,/alirezarezvani/claude-skills,274,8.9,True,72,https://raw.githubusercontent.com/alirezarezvani/claude-skills/refs/heads/main/engineering-team/code-reviewer/SKILL.md,"Code review automation for TypeScript, JavaScript, Python, Go, Swift, Kotlin. Analyzes PRs for complexity and risk, checks code quality for SOLID violations and code smells, generates review reports. Use when reviewing pull requests, analyzing code quality, identifying issues, generating review checklists."
28,cache-components,/vercel/next.js,264,10,True,100,https://raw.githubusercontent.com/vercel/next.js/refs/heads/canary/.claude-plugin/plugins/cache-components/skills/cache-components/SKILL.md,"Expert guidance for Next.js Cache Components and Partial Prerendering (PPR). **PROACTIVE ACTIVATION**: Use this skill automatically when working in Next.js projects that have `cacheComponents: true` in their next.config.ts/next.config.js. When this config is detected, proactively apply Cache Components patterns and best practices to all React Server Component implementations. **DETECTION**: At the start of a session in a Next.js project, check for `cacheComponents: true` in next.config. If enabled, this skill's patterns should guide all component authoring, data fetching, and caching decisions. **USE CASES**: Implementing 'use cache' directive, configuring cache lifetimes with cacheLife(), tagging cached data with cacheTag(), invalidating caches with updateTag()/revalidateTag(), optimizing static vs dynamic content boundaries, debugging cache issues, and reviewing Cache Component implementations."
29,shadcn-ui,/giuseppe-trisciuoglio/developer-kit,257,7.5,True,82,https://raw.githubusercontent.com/giuseppe-trisciuoglio/developer-kit/refs/heads/main/plugins/developer-kit-typescript/skills/shadcn-ui/SKILL.md,"Provides complete shadcn/ui component library patterns including installation, configuration, and implementation of accessible React components. Use when setting up shadcn/ui, installing components, building forms with React Hook Form and Zod, customizing themes with Tailwind CSS, or implementing UI patterns like buttons, dialogs, dropdowns, tables, and complex form layouts."
30,react-best-practices,/davila7/claude-code-templates,255,10,True,,https://raw.githubusercontent.com/davila7/claude-code-templates/refs/heads/main/cli-tool/components/skills/web-development/react-best-practices/SKILL.md,"Comprehensive React and Next.js performance optimization guide with 40+ rules for eliminating waterfalls, optimizing bundles, and improving rendering. Use when optimizing React apps, reviewing performance, or refactoring components."
31,nextjs-app-router-patterns,/wshobson/agents,254,9.5,True,97,https://raw.githubusercontent.com/wshobson/agents/refs/heads/main/plugins/frontend-mobile-development/skills/nextjs-app-router-patterns/SKILL.md,"Master Next.js 14+ App Router with Server Components, streaming, parallel routes, and advanced data fetching. Use when building Next.js applications, implementing SSR/SSG, or optimizing React Server Components."
32,agent-browser,/vercel-labs/agent-browser,252,9.6,True,95,https://raw.githubusercontent.com/vercel-labs/agent-browser/refs/heads/main/skills/agent-browser/SKILL.md,"Browser automation CLI for AI agents. Use when the user needs to interact with websites, including navigating pages, filling forms, clicking buttons, taking screenshots, extracting data, testing web apps, or automating any browser task. Triggers include requests to ""open a website"", ""fill out a form"", ""click a button"", ""take a screenshot"", ""scrape data from a page"", ""test this web app"", ""login to a site"", ""automate browser actions"", or any task requiring programmatic web interaction."
33,react-state-management,/wshobson/agents,196,9.5,True,,https://raw.githubusercontent.com/wshobson/agents/refs/heads/main/plugins/frontend-mobile-development/skills/react-state-management/SKILL.md,"Master modern React state management with Redux Toolkit, Zustand, Jotai, and React Query. Use when setting up global state, managing server state, or choosing between state management solutions."
34,vue,/onmax/nuxt-skills,179,9.6,True,99,https://raw.githubusercontent.com/onmax/nuxt-skills/refs/heads/main/skills/vue/SKILL.md,"Use when editing .vue files, creating Vue 3 components, writing composables, or testing Vue code - provides Composition API patterns, props/emits best practices, VueUse integration, and reactive destructuring guidance"
35,react-native-architecture,/wshobson/agents,178,9.5,True,,https://raw.githubusercontent.com/wshobson/agents/refs/heads/main/plugins/frontend-mobile-development/skills/react-native-architecture/SKILL.md,"Build production React Native apps with Expo, navigation, native modules, offline sync, and cross-platform patterns. Use when developing mobile apps, implementing native integrations, or architecting React Native projects."
36,senior-devops,/alirezarezvani/claude-skills,171,8.9,True,53,https://raw.githubusercontent.com/alirezarezvani/claude-skills/refs/heads/main/engineering-team/senior-devops/SKILL.md,"Comprehensive DevOps skill for CI/CD, infrastructure automation, containerization, and cloud platforms (AWS, GCP, Azure). Includes pipeline setup, infrastructure as code, deployment automation, and monitoring. Use when setting up pipelines, deploying applications, managing infrastructure, implementing monitoring, or optimizing deployment processes."
37,vercel-deploy,/vercel-labs/agent-skills,163,9.6,True,,https://raw.githubusercontent.com/vercel-labs/agent-skills/refs/heads/main/skills/claude.ai/vercel-deploy-claimable/SKILL.md,"Deploy applications and websites to Vercel. Use this skill when the user requests deployment actions such as ""Deploy my app"", ""Deploy this to production"", ""Create a preview deployment"", ""Deploy and give me the link"", or ""Push this live"". No authentication required - returns preview URL and claimable deployment link."
38,update-docs,/vercel/next.js,159,10,True,100,https://raw.githubusercontent.com/vercel/next.js/refs/heads/canary/.claude/skills/update-docs/SKILL.md,"This skill should be used when the user asks to ""update documentation for my changes"", ""check docs for this PR"", ""what docs need updating"", ""sync docs with code"", ""scaffold docs for this feature"", ""document this feature"", ""review docs completeness"", ""add docs for this change"", ""what documentation is affected"", ""docs impact"", or mentions ""docs/"", ""docs/01-app"", ""docs/02-pages"", ""MDX"", ""documentation update"", ""API reference"", "".mdx files"". Provides guided workflow for updating Next.js documentation based on code changes."
39,vercel-react-native-skills,/vercel-labs/agent-skills,151,9.6,True,,https://raw.githubusercontent.com/vercel-labs/agent-skills/refs/heads/main/skills/react-native-skills/SKILL.md,React Native and Expo best practices for building performant mobile apps. Use
40,typescript-advanced-types,/wshobson/agents,148,9.5,True,,https://raw.githubusercontent.com/wshobson/agents/refs/heads/main/plugins/javascript-typescript/skills/typescript-advanced-types/SKILL.md,"Master TypeScript's advanced type system including generics, conditional types, mapped types, template literals, and utility types for building type-safe applications. Use when implementing complex type logic, creating reusable type utilities, or ensuring compile-time type safety in TypeScript projects."
41,architecture-patterns,/wshobson/agents,146,9.5,True,78,https://raw.githubusercontent.com/wshobson/agents/refs/heads/main/plugins/backend-development/skills/architecture-patterns/SKILL.md,"Implement proven backend architecture patterns including Clean Architecture, Hexagonal Architecture, and Domain-Driven Design. Use when architecting complex backend systems or refactoring existing applications for better maintainability."
42,senior-security,/alirezarezvani/claude-skills,145,8.9,True,90,https://raw.githubusercontent.com/alirezarezvani/claude-skills/refs/heads/main/engineering-team/senior-security/SKILL.md,"Security engineering toolkit for threat modeling, vulnerability analysis, secure architecture, and penetration testing. Includes STRIDE analysis, OWASP guidance, cryptography patterns, and security scanning tools."
43,ui-design-system,/alirezarezvani/claude-skills,144,8.9,True,100,https://raw.githubusercontent.com/alirezarezvani/claude-skills/refs/heads/main/product-team/ui-design-system/SKILL.md,"UI design system toolkit for Senior UI Designer including design token generation, component documentation, responsive design calculations, and developer handoff tools. Use for creating design systems, maintaining visual consistency, and facilitating design-dev collaboration."
44,code-review,/agno-agi/agno,139,9.5,True,88,https://raw.githubusercontent.com/agno-agi/agno/refs/heads/main/cookbook/02_agents/16_skills/sample_skills/code-review/SKILL.md,"Code review assistance with linting, style checking, and best practices"
45,postgresql-table-design,/wshobson/agents,135,9.5,True,,https://raw.githubusercontent.com/wshobson/agents/refs/heads/main/plugins/database-design/skills/postgresql/SKILL.md,"Design a PostgreSQL-specific schema. Covers best-practices, data types, indexing, constraints, performance patterns, and advanced features"
46,senior-architect,/sickn33/antigravity-awesome-skills,133,6.8,True,,https://raw.githubusercontent.com/sickn33/antigravity-awesome-skills/refs/heads/main/skills/senior-architect/SKILL.md,"Comprehensive software architecture skill for designing scalable, maintainable systems using ReactJS, NextJS, NodeJS, Express, React Native, Swift, Kotlin, Flutter, Postgres, GraphQL, Go, Python. Includes architecture diagram generation, system design patterns, tech stack decision frameworks, and dependency analysis. Use when designing system architecture, making technical decisions, creating architecture diagrams, evaluating trade-offs, or defining integration patterns."
47,claude-automation-recommender,/anthropics/claude-plugins-official,132,8.5,True,72,https://raw.githubusercontent.com/anthropics/claude-plugins-official/refs/heads/main/plugins/claude-code-setup/skills/claude-automation-recommender/SKILL.md,"Analyze a codebase and recommend Claude Code automations (hooks, subagents, skills, plugins, MCP servers). Use when user asks for automation recommendations, wants to optimize their Claude Code setup, mentions improving Claude Code workflows, asks how to first set up Claude Code for a project, or wants to know what Claude Code features they should use."
48,supabase-nextjs,/alinaqi/claude-bootstrap,131,8.7,True,81,https://raw.githubusercontent.com/alinaqi/claude-bootstrap/refs/heads/main/skills/supabase-nextjs/SKILL.md,Next.js with Supabase and Drizzle ORM
49,vercel-composition-patterns,/vercel-labs/agent-skills,129,9.6,True,100,https://raw.githubusercontent.com/vercel-labs/agent-skills/refs/heads/main/skills/composition-patterns/SKILL.md,React composition patterns that scale. Use when refactoring components with
50,frontend-patterns,/affaan-m/everything-claude-code,129,9.4,True,95,https://raw.githubusercontent.com/affaan-m/everything-claude-code/refs/heads/main/skills/frontend-patterns/SKILL.md,"Frontend development patterns for React, Next.js, state management, performance optimization, and UI best practices."
51,dotnet-backend-patterns,/wshobson/agents,128,9.5,True,82,https://raw.githubusercontent.com/wshobson/agents/refs/heads/main/plugins/dotnet-contribution/skills/dotnet-backend-patterns/SKILL.md,"Master C#/.NET backend development patterns for building robust APIs, MCP servers, and enterprise applications. Covers async/await, dependency injection, Entity Framework Core, Dapper, configuration, caching, and testing with xUnit. Use when developing .NET backends, reviewing C# code, or designing API architectures."
52,remotion-best-practices,/remotion-dev/skills,127,8.3,True,,https://raw.githubusercontent.com/remotion-dev/skills/refs/heads/main/skills/remotion/SKILL.md,Best practices for Remotion - Video creation in React
53,create-auth-skill,/better-auth/skills,125,7.8,True,95,https://raw.githubusercontent.com/better-auth/skills/refs/heads/main/better-auth/create-auth/SKILL.md,Skill for creating auth layers in TypeScript/JavaScript apps using Better Auth.
54,react-native-design,/wshobson/agents,122,9.5,True,,https://raw.githubusercontent.com/wshobson/agents/refs/heads/main/plugins/ui-design/skills/react-native-design/SKILL.md,"Master React Native styling, navigation, and Reanimated animations for cross-platform mobile development. Use when building React Native apps, implementing navigation patterns, or creating performant animations."
55,next-best-practices,/vercel-labs/next-skills,121,9.6,True,,https://raw.githubusercontent.com/vercel-labs/next-skills/refs/heads/main/skills/next-best-practices/SKILL.md,"Next.js best practices - file conventions, RSC boundaries, data patterns, async APIs, metadata, error handling, route handlers, image/font optimization, bundling"
56,building-native-ui,/expo/skills,121,10,True,72,https://raw.githubusercontent.com/expo/skills/refs/heads/main/plugins/expo-app-design/skills/building-native-ui/SKILL.md,"Complete guide for building beautiful apps with Expo Router. Covers fundamentals, styling, components, navigation, animations, patterns, and native tabs."
57,senior-data-engineer,/alirezarezvani/claude-skills,121,8.9,True,72,https://raw.githubusercontent.com/alirezarezvani/claude-skills/refs/heads/main/engineering-team/senior-data-engineer/SKILL.md,"Data engineering skill for building scalable data pipelines, ETL/ELT systems, and data infrastructure. Expertise in Python, SQL, Spark, Airflow, dbt, Kafka, and modern data stack. Includes data modeling, pipeline orchestration, data quality, and DataOps. Use when designing data architectures, building data pipelines, optimizing data workflows, implementing data governance, or troubleshooting data issues."
58,epic-react-best-practices,/rubenpenap/epic-stack-agent-skills,120,7.1,True,,https://raw.githubusercontent.com/rubenpenap/epic-stack-agent-skills/refs/heads/main/skills/epic-react-patterns/SKILL.md,"Guide on React patterns, performance optimization, and code quality for Epic Stack"
59,react-modernization,/wshobson/agents,117,9.5,True,,https://raw.githubusercontent.com/wshobson/agents/refs/heads/main/plugins/framework-migration/skills/react-modernization/SKILL.md,"Upgrade React applications to latest versions, migrate from class components to hooks, and adopt concurrent features. Use when modernizing React codebases, migrating to React Hooks, or upgrading to latest React versions."
60,fastapi-templates,/wshobson/agents,117,9.5,True,,https://raw.githubusercontent.com/wshobson/agents/refs/heads/main/plugins/api-scaffolding/skills/fastapi-templates/SKILL.md,"Create production-ready FastAPI projects with async patterns, dependency injection, and comprehensive error handling. Use when building new FastAPI applications or setting up backend API projects."
61,expo-tailwind-setup,/expo/skills,116,10,True,72,https://raw.githubusercontent.com/expo/skills/refs/heads/main/plugins/expo-app-design/skills/expo-tailwind-setup/SKILL.md,Set up Tailwind CSS v4 in Expo with react-native-css and NativeWind v5 for universal styling
62,frontend-design,/anthropics/claude-code,115,8.8,True,72,https://raw.githubusercontent.com/anthropics/claude-code/refs/heads/main/plugins/frontend-design/skills/frontend-design/SKILL.md,"Create distinctive, production-grade frontend interfaces with high design quality. Use this skill when the user asks to build web components, pages, or applications. Generates creative, polished code that avoids generic AI aesthetics."
63,api-design-principles,/wshobson/agents,110,9.5,True,,https://raw.githubusercontent.com/wshobson/agents/refs/heads/main/plugins/backend-development/skills/api-design-principles/SKILL.md,"Master REST and GraphQL API design principles to build intuitive, scalable, and maintainable APIs that delight developers. Use when designing new APIs, reviewing API specifications, or establishing API design standards."
64,laravel,/rawveg/skillsforge-marketplace,109,9,True,93,https://raw.githubusercontent.com/rawveg/skillsforge-marketplace/refs/heads/main/laravel/SKILL.md,Laravel v12 - The PHP Framework For Web Artisans
65,responsive-design,/wshobson/agents,102,9.5,True,,https://raw.githubusercontent.com/wshobson/agents/refs/heads/main/plugins/ui-design/skills/responsive-design/SKILL.md,"Implement modern responsive layouts using container queries, fluid typography, CSS Grid, and mobile-first breakpoint strategies. Use when building adaptive interfaces, implementing fluid layouts, or creating component-level responsive behavior."
66,aws-solution-architect,/alirezarezvani/claude-skills,102,8.9,True,72,https://raw.githubusercontent.com/alirezarezvani/claude-skills/refs/heads/main/engineering-team/aws-solution-architect/SKILL.md,"Design AWS architectures for startups using serverless patterns and IaC templates. Use when asked to design serverless architecture, create CloudFormation templates, optimize AWS costs, set up CI/CD pipelines, or migrate to AWS. Covers Lambda, API Gateway, DynamoDB, ECS, Aurora, and cost optimization."
67,rag-implementation,/wshobson/agents,100,9.5,True,,https://raw.githubusercontent.com/wshobson/agents/refs/heads/main/plugins/llm-application-dev/skills/rag-implementation/SKILL.md,"Build Retrieval-Augmented Generation (RAG) systems for LLM applications with vector databases and semantic search. Use when implementing knowledge-grounded AI, building document Q&A systems, or integrating LLMs with external knowledge bases."
68,senior-prompt-engineer,/alirezarezvani/claude-skills,99,8.9,True,95,https://raw.githubusercontent.com/alirezarezvani/claude-skills/refs/heads/main/engineering-team/senior-prompt-engineer/SKILL.md,"This skill should be used when the user asks to ""optimize prompts"", ""design prompt templates"", ""evaluate LLM outputs"", ""build agentic systems"", ""implement RAG"", ""create few-shot examples"", ""analyze token usage"", or ""design AI workflows"". Use for prompt engineering patterns, LLM evaluation frameworks, agent architectures, and structured output design."
69,expo-deployment,/expo/skills,96,10,True,95,https://raw.githubusercontent.com/expo/skills/refs/heads/main/plugins/expo-deployment/skills/expo-deployment/SKILL.md,"Deploying Expo apps to iOS App Store, Android Play Store, web hosting, and API routes"
70,qstash-js,/upstash/qstash-js,94,8.5,True,,https://raw.githubusercontent.com/upstash/qstash-js/refs/heads/main/skills/SKILL.md,"Work with the QStash JavaScript/TypeScript SDK for serverless messaging, scheduling. Use when publishing messages to HTTP endpoints, creating schedules, managing queues, verifying incoming messages in serverless environments."
71,context7-skills,/narumiruna/context7-skills-skill,91,8.8,True,72,https://raw.githubusercontent.com/narumiruna/context7-skills-skill/refs/heads/main/skills/context7-skills/SKILL.md,"Use when managing Context7 CLI skills with npx ctx7 (search, install, list, remove, info)."
72,nextjs,/jezweb/claude-skills,91,9.7,True,72,https://raw.githubusercontent.com/jezweb/claude-skills/refs/heads/main/skills/nextjs/SKILL.md,"Build Next.js 16 apps with App Router, Server Components/Actions, Cache Components (""use cache""), and async route params. Includes proxy.ts and React 19.2. Prevents 25 documented errors. Use when: building Next.js 16 projects, or troubleshooting async params (Promise types), ""use cache"" directives, parallel route 404s, Turbopack issues, i18n caching, navigation throttling."
73,langchain-architecture,/wshobson/agents,90,9.5,True,,https://raw.githubusercontent.com/wshobson/agents/refs/heads/main/plugins/llm-application-dev/skills/langchain-architecture/SKILL.md,"Design LLM applications using LangChain 1.x and LangGraph for agents, memory, and tool integration. Use when building LangChain applications, implementing AI agents, or creating complex LLM workflows."
74,Agent Development,/anthropics/claude-code,90,8.8,True,96,https://raw.githubusercontent.com/anthropics/claude-code/refs/heads/main/plugins/plugin-dev/skills/agent-development/SKILL.md,"This skill should be used when the user asks to ""create an agent"", ""add an agent"", ""write a subagent"", ""agent frontmatter"", ""when to use description"", ""agent examples"", ""agent tools"", ""agent colors"", ""autonomous agent"", or needs guidance on agent structure, system prompts, triggering conditions, or agent development best practices for Claude Code plugins."
75,content-creator,/alirezarezvani/claude-skills,90,8.9,True,97,https://raw.githubusercontent.com/alirezarezvani/claude-skills/refs/heads/main/marketing-skill/content-creator/SKILL.md,"Create SEO-optimized marketing content with consistent brand voice. Includes brand voice analyzer, SEO optimizer, content frameworks, and social media templates. Use when writing blog posts, creating social media content, analyzing brand voice, optimizing SEO, planning content calendars, or when user mentions content creation, brand voice, SEO optimization, social media marketing, or content strategy."
76,senior-qa,/davila7/claude-code-templates,88,10,True,97,https://raw.githubusercontent.com/davila7/claude-code-templates/refs/heads/main/cli-tool/components/skills/development/senior-qa/SKILL.md,"Comprehensive QA and testing skill for quality assurance, test automation, and testing strategies for ReactJS, NextJS, NodeJS applications. Includes test suite generation, coverage analysis, E2E testing setup, and quality metrics. Use when designing test strategies, writing test cases, implementing test automation, performing manual testing, or analyzing test coverage."
